URL,Title,View Count
http://www.bilibili.com/video/BV1WJ4m1E7km/,饭局上说话的艺术,5.2万
http://www.bilibili.com/video/BV1Nb4y1Z73h/,说  话  的  艺  术,394.4万
http://www.bilibili.com/video/BV17Y4y1q7aa/,【口才】当众讲话的语言魅力开关,1100
http://www.bilibili.com/video/BV1py4y127Y9/,【说话的艺术37】套话与反套话（探究兴趣的方法）,557
http://www.bilibili.com/video/BV19SY5erEdW/,会说话 不如会接话，会接话的人 才是高手，记住这3个高情商说话技巧，让你瞬间接话 快速回话,80
http://www.bilibili.com/video/BV1VM4m1m7Dj/,大佬间唇枪舌剑，高情商回话，这才叫会说话,8.1万
http://www.bilibili.com/video/BV1kY411f7fv/,说话语无伦次？学会“多角度法”实现口才逆袭！,58.3万
http://www.bilibili.com/video/BV1Bv411b7W5/,【说话的艺术1】帮助年轻人适应聊天，擅长聊天的工具书（介绍）,4276
http://www.bilibili.com/video/BV1ns411w7LD/,【日常/生活】说话的艺术7,15.6万
http://www.bilibili.com/video/BV1qt4y127be/,高情商沟通课:教你建立舒服的关系,6082
http://www.bilibili.com/video/BV16s411K7vM/,【日常/生活】 说话的艺术4,16.1万
http://www.bilibili.com/video/BV1SN4y1978F/,快和沈腾学习说话的艺术，天花板脑子转的真快,13.1万
http://www.bilibili.com/video/BV1c841167kx/,说话的艺术：如何应对攻击性问题【杰森小木屋2】,50.3万
http://www.bilibili.com/video/BV1t8411F7vF/,【大师课】《讲故事的艺术》如何陪养讲故事的能力 尼尔·盖曼大师课（全集）,3.8万
http://www.bilibili.com/video/BV1ns411w7LD/,【日常/生活】说话的艺术7,15.6万
http://www.bilibili.com/video/BV1qt4y127be/,高情商沟通课:教你建立舒服的关系,6082
http://www.bilibili.com/video/BV16s411K7vM/,【日常/生活】 说话的艺术4,16.1万
http://www.bilibili.com/video/BV1sP4y1M7Wg/,王志文教你为人处世，酒局中千万别说这句话，否则你会没朋友的,18.1万
http://www.bilibili.com/video/BV1SN4y1978F/,快和沈腾学习说话的艺术，天花板脑子转的真快,13.1万
http://www.bilibili.com/video/BV1c841167kx/,说话的艺术：如何应对攻击性问题【杰森小木屋2】,50.3万
http://www.bilibili.com/video/BV1t8411F7vF/,【大师课】《讲故事的艺术》如何陪养讲故事的能力 尼尔·盖曼大师课（全集）,3.8万
http://www.bilibili.com/video/BV1ux42127Sw/,会说话是优势，会回话才是本事，高情商接话术，让你在各种场合如鱼得水！#高情商说话技巧 #口才#人际交住 #回话技巧 #好书分享,2.0万
http://www.bilibili.com/video/BV1S6421f7j5/,说话的艺术，一下省了好几万  太搞笑了,107.6万
http://www.bilibili.com/video/BV1UM4m1r7RW/,散兵教你说话的艺术,18.6万
http://www.bilibili.com/video/BV1G1ame8EmW/,说话很直，情商低，别把无脑和嘴快当性格了，五个高情商的表达方式，避免得罪人影响人际关系！,120
http://www.bilibili.com/video/BV1pS4y1m7oG/,【六月】说话的艺术——顶级白莲花赵本山！你大爷还是你大爷！,23.7万
http://www.bilibili.com/video/BV1a64y1b7wK/,教你如何高情商说话,3.9万
http://www.bilibili.com/video/BV1Rx4y1R7Y9/,高情商的20条处事行为【高情商社交】【心理学】,13.9万
http://www.bilibili.com/video/BV1Ey4y1h7yp/,【说话的艺术114】侦查与反侦查（目的隐藏）,6108
http://www.bilibili.com/video/BV1Ut4y1q7bU/,【沟通技巧】《即兴演说》教你说话的“艺术”,8604
http://www.bilibili.com/video/BV1Lz4y1F7p7/,学会说话：会聊天、敢说话、懂幽默、知分寸丨好好说话高情商增强影响力,190
http://www.bilibili.com/video/BV1zW4y1F7ZC/,两个公式，说话瞬间有魅力,7.7万
http://www.bilibili.com/video/BV177411T7AD/,【up青年】听说你很懂说话的艺术？,632
http://www.bilibili.com/video/BV1Ga4y1o77j/,罗永浩演讲私教课11：如何让你的表达生动形象又有说服力？,1.4万
http://www.bilibili.com/video/BV1RJ4m1s72j/,一个人没有教养，他的下限会有多低#沟通技巧 #说话的艺术 #高情商,1699
http://www.bilibili.com/video/BV1K3411L7mb/,中国式酒局的说话技巧，成年人一定要懂的人情世故【下集】,17.2万
http://www.bilibili.com/video/BV1Na4y1u7gR/,撒贝宁的高情商回话技巧，值得每一位不善交流的人学习！,9414
http://www.bilibili.com/video/BV1Q94y1s7SD/,主任这30秒语音，包含了一辈子的说话艺术,9.5万
http://www.bilibili.com/video/BV1D14y1z7Yg/,【看剧记单词】跟宝莲学习说话的艺术,33.2万
http://www.bilibili.com/video/BV1MT4y1s7wc/,真正会说话的人，不会这样称呼别人，也不会口若悬河，而是懂得以下四种聊天方式,9290
http://www.bilibili.com/video/BV1KY4y197oN/,饭局有人夸你，高情商怎么回话 #说话的艺术 #回话的技术 #高情商说话技巧,2700
http://www.bilibili.com/video/BV1Kz421Z7Lc/,医院里说话的艺术,227.8万
http://www.bilibili.com/video/BV1Hh4y1e7q4/,【名台词回顾】哈哈哈杨姐之所以被称为杨姐，拿捏了社交中说话的艺术,7.1万
http://www.bilibili.com/video/BV1db41137do/,口才艺术与社交礼仪,866
http://www.bilibili.com/video/BV1Cu4y1T7i6/,看看高情商之人的说话办事技巧,1918
http://www.bilibili.com/video/BV1Z8411r7xD/,# 中国式沟通智慧 # 说话的艺术 # 处世智慧 叶谨言和范金刚真的很适合做搭档，叶谨言高明的处事手,259
http://www.bilibili.com/video/BV1oe411z7Gr/,会说话是优势，会回话才是本事，一开口就让别人喜欢你。#回话的技术 #人际交往 #说话技巧 #高情商说话技巧 #好书分享,25.9万
http://www.bilibili.com/video/BV1GK421x7Za/,【雅思口语part3】说话的艺术 修辞 极速5.5通6.5,8.3万
http://www.bilibili.com/video/BV1WH4y1j7Fn/,嘴笨的人一定要学的几句接话技巧,3.6万
http://www.bilibili.com/video/BV1Jf4y1i7fM/,【心理学】导师夸人如杀人？！手把手教你说话的艺术！,4.9万
http://www.bilibili.com/video/BV1dq4y1w772/,【羽生结弦】论 说话的艺术,14.4万
http://www.bilibili.com/video/BV1JN4y1b72H/,【院人】说话的艺术，理科生：稀释，这很化学 文科生：息事宁人,11.3万
http://www.bilibili.com/video/BV14CYse4ESS/,接话回话是人际交往的一门重要沟通技巧  一个方法让你成为沟通高手,42
http://www.bilibili.com/video/BV1dr4y1x7Nu/,大领导说话的艺术，听的背后发凉,7621
http://www.bilibili.com/video/BV1uA411F7wi/,高情商的销售说话技巧，一生只讲妥当话,1.6万
http://www.bilibili.com/video/BV1sJ4m1s7Yn/,“掌握说话的艺术和技巧，就能在工作和生活中如鱼得水！”,13.8万
http://www.bilibili.com/video/BV1dq4y1w772/,【羽生结弦】论 说话的艺术,14.4万
http://www.bilibili.com/video/BV1JN4y1b72H/,【院人】说话的艺术，理科生：稀释，这很化学 文科生：息事宁人,11.3万
http://www.bilibili.com/video/BV14CYse4ESS/,接话回话是人际交往的一门重要沟通技巧  一个方法让你成为沟通高手,42
http://www.bilibili.com/video/BV1dr4y1x7Nu/,大领导说话的艺术，听的背后发凉,7621
http://www.bilibili.com/video/BV1uA411F7wi/,高情商的销售说话技巧，一生只讲妥当话,1.6万
http://www.bilibili.com/video/BV1sJ4m1s7Yn/,“掌握说话的艺术和技巧，就能在工作和生活中如鱼得水！”,13.8万
http://www.bilibili.com/video/BV16D4y1H7Ma/,盘点那些高情商男人的说话方式，真的全靠一张嘴,5.0万
http://www.bilibili.com/video/BV1sq4y1S73h/,【王熙凤】二奶奶来骂街了，快躲躲！社会我凤哥儿，教你说话的艺术。,17.4万
http://www.bilibili.com/video/BV1JG411X7TS/,高情商的女人平时都怎么说话的？,1366
http://www.bilibili.com/video/BV1bK4y1Y7WX/,什么话要马上讲，什么话不能马上讲？如何掌握语言的艺术,1.8万
http://www.bilibili.com/video/BV1XW41197Hb/,3分钟看完《关键对话》|说话的艺术，高情商的人都这样说话！,2.9万
